model_name,base_model,frozen_layers,total_params,trainable_params,model_architecture,inf_sample_size,batch_size,epochs,location,training_energy_kwh,carbon_emissions_kgco2,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,hardware,training_time,inference_energy_kwh,inference_carbon_emissions_kgco2,inf_cpu_energy_kwh,inf_gpu_energy_kwh,inf_ram_energy_kwh,inf_hardware,inf_location,accuracy,f1_score
TFIDF + XGBoost,XGBoost,0,~1K–10K,~1K–10K,Traditional ML (TFIDF + Trees),1000,N/A,N/A,SGP,0.000559812,0.00026355,0.000265572,0.000169288,0.000124952,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",24.04228926,2.72E-06,1.28E-06,1.20E-06,9.58E-07,5.60E-07,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.585,0.578
BERT-base-uncased,BERT-base-uncased,Base,~110M,~110M,Encoder (BERT-style),1000,32,5,SGP,0.024620111,0.011590729,0.007778261,0.013181892,0.003659958,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",660.5842288,0.000264715,0.000124623,8.47E-05,0.000140231,3.98E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.693,0.69
BERT-base-uncased 10 Frozen Layers,BERT-base-uncased,10,~110M,~20M,Encoder (BERT-style),1000,32,5,CAN,0.014380732,3.42E-05,0.004537108,0.007708762,0.002134861,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",386.4145608,0.000273235,0.000128634,8.66E-05,0.000145948,4.07E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.459,0.408
BERT-base-uncased 8 Frozen Layers,BERT-base-uncased,8,~110M,~34M,Encoder (BERT-style),1000,32,5,SGP,0.016915422,0.007963493,0.005339325,0.00906376,0.002512338,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",453.9386828,0.000262856,0.000123748,8.39E-05,0.000139529,3.95E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.664,0.662
DistilBERT,DistilBERT,0,~66M,~66M,Encoder (BERT-style),1000,32,5,SGP,0.012344869,0.005811755,0.003900064,0.006609687,0.001835118,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",331.9440708,0.000130015,6.12E-05,4.18E-05,6.85E-05,1.97E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.696,0.693
Conspiracy768,Conspiracy768,0,~800K,~800K,MLP,1000,32,5,SGP,0.006448454,0.003035822,0.002039119,0.003449856,0.000959479,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",174.243247,0.000121579,5.72E-05,3.91E-05,6.41E-05,1.84E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.559,0.555
DeBERTa-v3-base,DeBERTa-v3-base,Base,~84M,~84M,Encoder (BERT-style),1000,32,5,SGP,0.039915134,0.018791366,0.012615778,0.021363202,0.005936154,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",1070.586306,0.000405744,0.000191017,0.000128943,0.000216134,6.07E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.729,0.726
DeBERTa-v3-base 8 Frozen layers,DeBERTa-v3-base,8,~84M,~56M,Encoder (BERT-style),1000,32,5,SGP,0.034745134,0.016357419,0.010974955,0.018606083,0.005164097,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",931.5572135,0.00040595,0.000191114,0.000128797,0.000216555,6.06E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.678,0.673
RoBERTa-base,RoBERTa-base,Base,~125M,~125M,Encoder (BERT-style),1000,32,5,SGP,0.024231128,0.011407603,0.007653506,0.012976377,0.003601245,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",650.0479112,0.000236655,0.000111413,7.54E-05,0.000125781,3.55E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.721,0.722
RoBERTa-base 8 Frozen layers,RoBERTa-base,8,~125M,~42M,Encoder (BERT-style),1000,32,5,CAN,0.015928999,3.79E-05,0.005027255,0.008536248,0.002365496,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",427.9832571,0.000235046,0.000110656,7.46E-05,0.000125371,3.51E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.714,0.71
DistilRoBERTa-base,DistilRoBERTa-base,0,~82M,~82M,Encoder (BERT-style),1000,32,5,SGP,0.012501438,0.005885465,0.00395027,0.006692426,0.001858742,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",336.2182789,0.000130611,6.15E-05,4.16E-05,6.94E-05,1.96E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.546,0.545
FLAN-T5-base,FLAN-T5-base,0,~248M,~248M,Encoder-Decoder,1000,32,5,SGP,0.031096129,0.014639529,0.010039067,0.016333239,0.004723822,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",850.6861272,0.000451807,0.000212703,0.000149175,0.000232438,0.0000702,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.713,0.721
BART-base,BART-base,0,~139M,~139M,Encoder-Decoder,1000,32,5,SGP,0.022292292,0.010494832,0.007148463,0.011780154,0.003363675,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",605.7447612,0.0003453,0.0001626,0.0001106,0.0001826,0.0000521,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.722,0.715
RoBERTa Base with 10 frozen layers,RoBERTa-base,10,~125M,~42M,Encoder (BERT-style),1000,32,5,SGP,0.012443778,0.005858319,0.003935814,0.00665602,0.001851944,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",335.0215693,0.0002119,0.0000998,0.0000674,0.000112749,3.17E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.252,0.101
DeBERTa v3 base with 10 frozen layers,DeBERTa-v3-base,10,~84M,~84M,Encoder (BERT-style),1000,32,5,SGP,0.032937857,0.015506583,0.010418419,0.017617214,0.004902224,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",884.3596179,0.0003833,0.0001804,0.0001222,0.000203597,5.75E-05,"[RAM(), CPU(Intel(R) Xeon(R) CPU @ 2.20GHz > 85W [generic]), GPU() (NVIDIA L4)]",SGP,0.252,0.101